NAME: A-n48-k7_1 
DIMENSION: 48 
CAPACITY: 100 
VEHICLES: 7 
No         x_pos      y_pos      demand     release    due        
1          47.00000   5.00000    0          0          999999999  
2          1.00000    19.00000   20         2          66         
3          97.00000   35.00000   14         1          94         
4          23.00000   79.00000   5          2          95         
5          77.00000   87.00000   11         7          81         
6          3.00000    9.00000    22         8          96         
7          5.00000    27.00000   25         4          97         
8          41.00000   53.00000   2          8          91         
9          51.00000   87.00000   18         3          74         
10         67.00000   73.00000   10         2          75         
11         89.00000   45.00000   26         4          78         
12         71.00000   99.00000   14         5          88         
13         11.00000   1.00000    22         6          81         
14         85.00000   85.00000   9          5          99         
15         57.00000   11.00000   11         3          74         
16         57.00000   85.00000   18         2          72         
17         71.00000   33.00000   24         2          93         
18         61.00000   13.00000   15         2          80         
19         39.00000   15.00000   23         6          92         
20         13.00000   59.00000   16         4          66         
21         43.00000   99.00000   14         1          75         
22         87.00000   73.00000   8          6          66         
23         11.00000   37.00000   5          2          84         
24         21.00000   11.00000   12         7          91         
25         77.00000   81.00000   8          5          97         
26         3.00000    63.00000   16         5          87         
27         47.00000   95.00000   12         2          85         
28         53.00000   75.00000   15         7          97         
29         73.00000   55.00000   9          5          80         
30         81.00000   71.00000   2          5          80         
31         89.00000   75.00000   10         4          92         
32         11.00000   9.00000    2          6          95         
33         27.00000   37.00000   3          1          65         
34         95.00000   59.00000   20         5          63         
35         63.00000   63.00000   3          7          66         
36         37.00000   21.00000   13         4          67         
37         33.00000   47.00000   25         6          70         
38         23.00000   63.00000   23         3          84         
39         13.00000   55.00000   8          5          63         
40         47.00000   93.00000   16         3          78         
41         45.00000   43.00000   9          7          90         
42         83.00000   7.00000    14         7          69         
43         69.00000   91.00000   4          8          74         
44         13.00000   11.00000   13         4          72         
45         37.00000   15.00000   7          4          68         
46         53.00000   59.00000   16         5          75         
47         97.00000   83.00000   18         7          95         
48         75.00000   31.00000   16         1          70         
