NAME: B-n57-k9_3 
DIMENSION: 57 
CAPACITY: 100 
VEHICLES: 9 
No         x_pos      y_pos      demand     release    due        
1          19.00000   1.00000    0          0          999999999  
2          83.00000   61.00000   18         27         64         
3          59.00000   95.00000   16         21         49         
4          73.00000   25.00000   23         16         45         
5          51.00000   53.00000   20         13         51         
6          23.00000   49.00000   18         8          38         
7          63.00000   19.00000   19         21         49         
8          51.00000   81.00000   2          3          30         
9          1.00000    89.00000   4          3          32         
10         97.00000   41.00000   10         20         55         
11         74.00000   30.00000   2          10         52         
12         60.00000   88.00000   26         16         56         
13         58.00000   54.00000   21         9          38         
14         63.00000   95.00000   10         20         47         
15         65.00000   89.00000   8          10         48         
16         6.00000    94.00000   20         20         55         
17         61.00000   97.00000   21         27         62         
18         75.00000   31.00000   4          3          35         
19         106.00000  48.00000   5          13         45         
20         69.00000   93.00000   15         3          45         
21         56.00000   84.00000   18         20         54         
22         26.00000   54.00000   2          25         65         
23         66.00000   24.00000   21         3          33         
24         60.00000   98.00000   20         15         43         
25         92.00000   66.00000   23         15         45         
26         8.00000    92.00000   13         19         55         
27         64.00000   102.00000  22         9          47         
28         104.00000  48.00000   17         17         60         
29         104.00000  42.00000   11         6          33         
30         30.00000   52.00000   7          18         47         
31         52.00000   54.00000   13         19         53         
32         77.00000   33.00000   13         13         45         
33         68.00000   20.00000   16         5          33         
34         56.00000   62.00000   14         12         53         
35         65.00000   91.00000   25         17         50         
36         54.00000   60.00000   18         9          47         
37         26.00000   52.00000   2          23         59         
38         52.00000   90.00000   19         4          30         
39         56.00000   56.00000   6          7          45         
40         66.00000   102.00000  19         26         58         
41         72.00000   24.00000   9          18         49         
42         28.00000   56.00000   24         21         55         
43         58.00000   82.00000   2          22         59         
44         84.00000   66.00000   13         2          42         
45         63.00000   93.00000   17         12         48         
46         88.00000   64.00000   20         20         47         
47         74.00000   28.00000   24         4          44         
48         26.00000   50.00000   8          18         49         
49         58.00000   58.00000   15         7          48         
50         52.00000   56.00000   7          23         61         
51         76.00000   26.00000   7          23         60         
52         8.00000    92.00000   4          13         46         
53         90.00000   68.00000   22         11         39         
54         32.00000   50.00000   11         26         70         
55         84.00000   66.00000   10         1          39         
56         78.00000   34.00000   25         11         41         
57         64.00000   24.00000   24         14         42         
