NAME: E-n101-k14_4 
DIMENSION: 101 
CAPACITY: 112 
VEHICLES: 14 
No         x_pos      y_pos      demand     release    due        
1          35.00000   35.00000   0          0          999999999  
2          41.00000   49.00000   10         5          40         
3          35.00000   17.00000   7          8          52         
4          55.00000   45.00000   13         1          52         
5          55.00000   20.00000   19         10         50         
6          15.00000   30.00000   26         6          51         
7          25.00000   30.00000   3          12         56         
8          20.00000   50.00000   5          1          38         
9          10.00000   43.00000   9          12         52         
10         55.00000   60.00000   16         2          39         
11         30.00000   60.00000   16         5          54         
12         20.00000   65.00000   12         14         57         
13         50.00000   35.00000   19         12         65         
14         30.00000   25.00000   23         5          58         
15         15.00000   10.00000   20         1          52         
16         30.00000   5.00000    8          4          40         
17         10.00000   20.00000   19         6          41         
18         5.00000    30.00000   2          9          46         
19         20.00000   40.00000   12         14         65         
20         15.00000   60.00000   17         13         59         
21         45.00000   65.00000   9          15         52         
22         45.00000   20.00000   11         9          53         
23         45.00000   10.00000   18         3          57         
24         55.00000   5.00000    29         11         63         
25         65.00000   35.00000   3          14         59         
26         65.00000   20.00000   6          11         52         
27         45.00000   30.00000   17         8          45         
28         35.00000   40.00000   16         14         54         
29         41.00000   37.00000   16         8          46         
30         64.00000   42.00000   9          10         46         
31         40.00000   60.00000   21         5          53         
32         31.00000   52.00000   27         10         45         
33         35.00000   69.00000   23         11         52         
34         53.00000   52.00000   11         14         58         
35         65.00000   55.00000   14         5          50         
36         63.00000   65.00000   8          3          55         
37         2.00000    60.00000   5          13         51         
38         20.00000   20.00000   8          4          56         
39         5.00000    5.00000    16         3          48         
40         60.00000   12.00000   31         12         63         
41         40.00000   25.00000   9          11         62         
42         42.00000   7.00000    5          5          40         
43         24.00000   12.00000   5          10         50         
44         23.00000   3.00000    7          7          53         
45         11.00000   14.00000   18         11         60         
46         6.00000    38.00000   16         3          36         
47         2.00000    48.00000   1          3          53         
48         8.00000    56.00000   27         11         62         
49         13.00000   52.00000   36         10         52         
50         6.00000    68.00000   30         9          47         
51         47.00000   47.00000   13         15         55         
52         49.00000   58.00000   10         5          53         
53         27.00000   43.00000   9          7          43         
54         37.00000   31.00000   14         10         61         
55         57.00000   29.00000   18         11         45         
56         63.00000   23.00000   2          3          50         
57         53.00000   12.00000   6          13         66         
58         32.00000   12.00000   7          3          48         
59         36.00000   26.00000   18         7          46         
60         21.00000   24.00000   28         7          61         
61         17.00000   34.00000   3          12         49         
62         12.00000   24.00000   13         15         49         
63         24.00000   58.00000   19         15         58         
64         27.00000   69.00000   10         3          40         
65         15.00000   77.00000   9          9          51         
66         62.00000   77.00000   20         5          58         
67         49.00000   73.00000   25         3          44         
68         67.00000   5.00000    25         8          53         
69         56.00000   39.00000   36         12         56         
70         37.00000   47.00000   6          4          51         
71         37.00000   56.00000   5          9          62         
72         57.00000   68.00000   15         6          47         
73         47.00000   16.00000   25         5          41         
74         44.00000   17.00000   9          9          51         
75         46.00000   13.00000   8          4          58         
76         49.00000   11.00000   18         2          43         
77         49.00000   42.00000   13         9          59         
78         53.00000   43.00000   14         2          50         
79         61.00000   52.00000   3          12         46         
80         57.00000   48.00000   23         2          41         
81         56.00000   37.00000   6          9          49         
82         55.00000   54.00000   26         3          47         
83         15.00000   47.00000   16         14         50         
84         14.00000   37.00000   11         3          41         
85         11.00000   31.00000   7          9          59         
86         16.00000   22.00000   41         11         46         
87         4.00000    18.00000   35         12         65         
88         28.00000   18.00000   26         11         55         
89         26.00000   52.00000   9          10         54         
90         26.00000   35.00000   15         9          48         
91         31.00000   67.00000   3          3          38         
92         15.00000   19.00000   1          4          47         
93         22.00000   22.00000   2          2          50         
94         18.00000   24.00000   22         11         53         
95         26.00000   27.00000   27         4          49         
96         25.00000   24.00000   20         9          58         
97         22.00000   27.00000   11         12         57         
98         25.00000   21.00000   12         12         65         
99         19.00000   21.00000   10         14         55         
100        20.00000   26.00000   9          1          52         
101        18.00000   18.00000   17         6          59         
