NAME: F-n45-k4_1 
DIMENSION: 45 
CAPACITY: 2010 
VEHICLES: 4 
No         x_pos      y_pos      demand     release    due        
1          0.00000    0.00000    0          0          999999999  
2          3.00000    5.00000    33         5          126        
3          2.50000    9.00000    15         8          115        
4          48.00000   16.00000   10         1          108        
5          48.00000   17.00000   40         4          153        
6          69.00000   16.00000   15         9          161        
7          70.00000   16.00000   5          3          117        
8          64.00000   13.00000   77         9          147        
9          3.00000    -22.00000  435        5          141        
10         2.50000    1.00000    165        1          148        
11         -13.00000  11.50000   120        6          102        
12         -20.00000  45.00000   65         2          123        
13         -9.00000   52.00000   23         4          116        
14         -8.50000   53.00000   18         6          146        
15         -8.00000   52.00000   550        2          135        
16         2.00000    2.00000    78         6          156        
17         -2.00000   9.00000    627        4          146        
18         -10.00000  20.00000   9          9          132        
19         -20.00000  19.00000   96         2          105        
20         -15.00000  -21.00000  116        3          157        
21         -5.00000   -9.00000   116        2          98         
22         -4.50000   -9.00000   83         3          145        
23         -52.00000  -36.00000  41         7          151        
24         -53.00000  -36.00000  645        6          150        
25         0.00000    0.01000    694        5          121        
26         -30.00000  -18.00000  573        8          163        
27         -51.00000  -35.00000  1          1          99         
28         81.00000   9.00000    181        8          110        
29         84.00000   -99.00000  106        3          100        
30         82.00000   -6.00000   52         5          116        
31         40.00000   -12.00000  117        1          97         
32         50.00000   -7.00000   52         1          133        
33         51.00000   -8.00000   1300       6          150        
34         63.00000   -17.00000  57         4          141        
35         45.00000   -1.00000   28         1          110        
36         54.00000   8.50000    84         9          117        
37         29.00000   4.00000    1          7          156        
38         21.00000   3.00000    54         5          142        
39         22.00000   2.00000    19         4          122        
40         39.00000   -3.00000   88         3          155        
41         39.50000   -3.00000   41         6          114        
42         40.00000   -11.00000  238        6          104        
43         28.00000   -2.00000   66         6          148        
44         24.00000   -18.00000  44         3          110        
45         24.00000   -19.00000  42         9          144        
