NAME: M-n151-k12_2 
DIMENSION: 151 
CAPACITY: 200 
VEHICLES: 12 
No         x_pos      y_pos      demand     release    due        
1          35.00000   35.00000   0          0          999999999  
2          41.00000   49.00000   10         3          62         
3          35.00000   17.00000   7          6          89         
4          55.00000   45.00000   13         8          68         
5          55.00000   20.00000   19         1          62         
6          15.00000   30.00000   26         8          86         
7          25.00000   30.00000   3          3          58         
8          20.00000   50.00000   5          6          64         
9          10.00000   43.00000   9          5          71         
10         55.00000   60.00000   16         2          74         
11         30.00000   60.00000   16         1          69         
12         20.00000   65.00000   12         3          89         
13         50.00000   35.00000   19         4          84         
14         30.00000   25.00000   23         3          57         
15         15.00000   10.00000   20         3          84         
16         30.00000   5.00000    8          1          58         
17         10.00000   20.00000   19         8          73         
18         5.00000    30.00000   2          4          77         
19         20.00000   40.00000   12         3          70         
20         15.00000   60.00000   17         5          68         
21         45.00000   65.00000   9          7          89         
22         45.00000   20.00000   11         6          76         
23         45.00000   10.00000   18         8          69         
24         55.00000   5.00000    29         6          62         
25         65.00000   35.00000   3          4          62         
26         65.00000   20.00000   6          6          67         
27         45.00000   30.00000   17         5          79         
28         35.00000   40.00000   16         7          62         
29         41.00000   37.00000   16         8          86         
30         64.00000   42.00000   9          6          90         
31         40.00000   60.00000   21         4          90         
32         31.00000   52.00000   27         2          67         
33         35.00000   69.00000   23         4          84         
34         53.00000   52.00000   11         1          55         
35         65.00000   55.00000   14         2          66         
36         63.00000   65.00000   8          8          82         
37         2.00000    60.00000   5          1          81         
38         20.00000   20.00000   8          1          73         
39         5.00000    5.00000    16         8          80         
40         60.00000   12.00000   31         3          76         
41         40.00000   25.00000   9          4          65         
42         42.00000   7.00000    5          2          87         
43         24.00000   12.00000   5          8          92         
44         23.00000   3.00000    7          5          91         
45         11.00000   14.00000   18         8          93         
46         6.00000    38.00000   16         2          67         
47         2.00000    48.00000   1          7          74         
48         8.00000    56.00000   27         4          87         
49         13.00000   52.00000   36         6          85         
50         6.00000    68.00000   30         2          66         
51         47.00000   47.00000   13         1          68         
52         49.00000   58.00000   10         1          62         
53         27.00000   43.00000   9          6          85         
54         37.00000   31.00000   14         1          63         
55         57.00000   29.00000   18         7          91         
56         63.00000   23.00000   2          6          70         
57         53.00000   12.00000   6          2          80         
58         32.00000   12.00000   7          3          55         
59         36.00000   26.00000   18         1          59         
60         21.00000   24.00000   28         8          69         
61         17.00000   34.00000   3          4          69         
62         12.00000   24.00000   13         6          76         
63         24.00000   58.00000   19         4          61         
64         27.00000   69.00000   10         3          74         
65         15.00000   77.00000   9          4          85         
66         62.00000   77.00000   20         2          80         
67         49.00000   73.00000   25         2          73         
68         67.00000   5.00000    25         1          80         
69         56.00000   39.00000   36         1          55         
70         37.00000   47.00000   6          2          56         
