NAME: P-n55-k10_5 
DIMENSION: 55 
CAPACITY: 115 
VEHICLES: 10 
No         x_pos      y_pos      demand     release    due        
1          40.00000   40.00000   0          0          999999999  
2          22.00000   22.00000   18         5          47         
3          36.00000   26.00000   26         12         50         
4          21.00000   45.00000   11         3          36         
5          45.00000   35.00000   30         11         55         
6          55.00000   20.00000   21         15         44         
7          33.00000   34.00000   19         16         49         
8          50.00000   50.00000   15         6          50         
9          55.00000   45.00000   16         9          49         
10         26.00000   59.00000   29         12         52         
11         40.00000   66.00000   26         12         48         
12         55.00000   65.00000   37         8          38         
13         35.00000   51.00000   16         7          52         
14         62.00000   35.00000   12         5          49         
15         62.00000   57.00000   31         2          38         
16         62.00000   24.00000   8          8          51         
17         21.00000   36.00000   19         3          36         
18         33.00000   44.00000   20         7          41         
19         9.00000    56.00000   13         16         58         
20         62.00000   48.00000   15         9          38         
21         66.00000   14.00000   22         16         61         
22         44.00000   13.00000   28         2          30         
23         26.00000   13.00000   12         17         50         
24         11.00000   28.00000   6          2          30         
25         7.00000    43.00000   27         6          42         
26         17.00000   64.00000   14         14         56         
27         41.00000   46.00000   18         11         55         
28         55.00000   34.00000   17         8          45         
29         35.00000   16.00000   29         6          48         
30         52.00000   26.00000   13         3          41         
31         43.00000   26.00000   22         6          47         
32         31.00000   76.00000   25         3          31         
33         22.00000   53.00000   28         6          42         
34         26.00000   29.00000   27         2          34         
35         50.00000   40.00000   19         15         48         
36         55.00000   50.00000   10         17         62         
37         54.00000   10.00000   12         4          35         
38         60.00000   15.00000   14         13         50         
39         47.00000   66.00000   24         1          33         
40         30.00000   60.00000   16         11         49         
41         30.00000   50.00000   33         12         58         
42         12.00000   17.00000   15         1          31         
43         15.00000   14.00000   11         1          46         
44         16.00000   19.00000   18         3          33         
45         21.00000   48.00000   17         15         46         
46         50.00000   30.00000   21         5          44         
47         51.00000   42.00000   27         10         40         
48         50.00000   15.00000   19         9          38         
49         48.00000   21.00000   20         10         50         
50         12.00000   38.00000   5          6          34         
51         15.00000   56.00000   22         8          54         
52         29.00000   39.00000   12         8          45         
53         54.00000   38.00000   19         17         51         
54         55.00000   57.00000   22         1          41         
55         67.00000   41.00000   16         7          52         
